Unix time (s),ms,Date,Time,Telecommand counter,Telemetry request counter,Telecommand buffer overrun,UART protocol error,UART incomplete message,I2C telemetry error,I2C telecommand buffer error,CAN telecommand buffer error,Single SRAM upsets,Double SRAM upsets,Multiple SRAM upsets,Time of Event,Event ID,Event Parameter,SRAM1 latchups,SRAM2 latchups,X Magnetorquer Command (10ms units),Y Magnetorquer Command (10ms units),Z Magnetorquer Command (10ms units),Commanded X Wheel Speed (rpm),Commanded Y Wheel Speed (rpm),Commanded Z Wheel Speed (rpm),Magnetic Field X (uT),Magnetic Field Y (uT),Magnetic Field Z (uT),Coarse Sun X,Coarse Sun Y,Coarse Sun Z,Sun X,Sun Y,Sun Z,Nadir X,Nadir Y,Nadir Z,X Angular Rate (deg/s),Y Angular Rate (deg/s),Z Angular Rate (deg/s),X Wheel Speed (rpm),Y Wheel Speed (rpm),Z Wheel Speed (rpm),Star1BX,Star1BY,Star1BZ,Star1OX,Star1OY,Star1OZ,Star2BX,Star2BY,Star2BZ,Star2OX,Star2OY,Star2OZ,Star3BX,Star3BY,Star3BZ,Star3OX,Star3OY,Star3OZ,CubeSense1 3V3 Current (mA),CubeSense1 Cam SRAM Current (mA),CubeControl 3V3 Current (mA),CubeControl 5V Current (mA),CubeControl Vbat Current (mA),Wheel1Current (mA),Wheel2Current (mA),Wheel3Current (mA),CubeStarCurrent (mA),Magnetorquer Current (mA),CubeStar MCU temperature (C),MCU Temperature (C),Magnetometer Temperature (C),Redundant Magnetometer Temperature (C),X-Rate Sensor Temperature (C),Y-Rate Sensor Temperature (C),Z-Rate Sensor Temperature (C),Attitude Estimation Mode,Control Mode,ADCS Run Mode,ASGP4 Mode,CubeControl Signal Enabled,CubeControl Motor Enabled,CubeSense1 Enabled,CubeSense2 Enabled,CubeWheel1 Enabled,CubeWheel2 Enabled,CubeWheel3 Enabled,CubeStar Enabled,GPS Receiver Enabled,GPS LNA Power Enabled,Motor Driver Enabled,Sun is Above Local Horizon,CubeSense1 Communications Error,CubeSense2 Communications Error,CubeControl Signal Communications Error,CubeControl Motor Communications Error,CubeWheel1 Communications Error,CubeWheel2 Communications Error,CubeWheel3 Communications Error,CubeStar Communications Error,Magnetometer Range Error,Cam1 SRAM Overcurrent Detected,Cam1 3V3 Overcurrent Detected,Cam1 Sensor Busy Error,Cam1 Sensor Detection Error,Sun Sensor Range Error,Cam2 SRAM Overcurrent Detected,Cam2 3V3 Overcurrent Detected,Cam2 Sensor Busy Error,Cam2 Sensor Detection Error,Nadir Sensor Range Error,Rate Sensor Range Error,Wheel Speed Range Error,Coarse Sun Sensor Error,StarTracker Match Error,Star Tracker Overcurrent Detected,Estimated Roll Angle (deg),Estimated Pitch Angle (deg),Estimated Yaw Angle (deg),Estimated q1,Estimated q2,Estimated q3,Estimated X Angular Rate (deg/s),Estimated Y Angular Rate (deg/s),Estimated Z Angular Rate (deg/s),X position (km),Y position (km),Z position (km),X Velocity (m/s),Y Velocity (m/s),Z Velocity (m/s),Latitude (deg),Longitude (deg),Altitude (km),ECEF Position X (m),ECEF Position Y (m),ECEF Position Z (m),IGRF Modelled Magnetic Field X (uT),IGRF Modelled Magnetic Field Y (uT),IGRF Modelled Magnetic Field Z (uT),Modelled Sun Vector X,Modelled Sun Vector Y,Modelled Sun Vector Z,Estimated X-gyro Bias (deg/s),Estimated Y-gyro Bias (deg/s),Estimated Z-gyro Bias (deg/s),Innovation Vector X,Innovation Vector Y,Innovation Vector Z,Quaternion Error - Q1,Quaternion Error - Q2,Quaternion Error - Q3,Quaternion Covariance - Q1 RMS,Quaternion Covariance - Q2 RMS,Quaternion Covariance - Q3 RMS,X Angular Rate Covariance,Y Angular Rate Covariance,Z Angular Rate Covariance,Gps Solution Status,Number of tracked GPS satellites,Number of GPS satellites used in solution,Counter for XYZ Lof from GPS,Counter for RANGE log from GPS,Response Message for GPS log setup,GPS Reference Week,GPS Time Milliseconds (ms),ECEF Position X (m),ECEF Velocity X (m/s),ECEF Position Y (m),ECEF Velocity Y (m/s),ECEF Position Z (m),ECEF Velocity Z (m/s),Cam2 centroid X,Cam2 centroid Y,Cam2 Capture status,Cam2 Detection result,Cam1 centroid X,Cam1 centroid Y,Cam1 Capture status,Cam1 Detection result,CSS1,CSS2,CSS3,CSS4,CSS5,CSS6,CSS7,CSS8,CSS9,CSS10,MagX,MagX,MagY,MagZ,Number of stars detected (stars),Star image noise (noise),Invalid Stars (Invalid stars),Number of stars identified (stars),Identification mode (ID mode),Image dark value (8-bit pixel value),Magnitude Star 1,Magnitude Star 2,Magnitude Star 3,Catalogue Star 1,Centroid X Star 1,Centroid Y Star 1,Catalogue Star 2,Centroid X Star 2,Centroid Y Star 2,Catalogue Star 3,Centroid X Star 3,Centroid Y Star 3,Capture (ms),Detection (ms),Identification (ms),MagX,MagY,MagZ,Estimated X Angular Rate (deg/s),Estimated Y Angular Rate (deg/s),Estimated Z Angular Rate (deg/s),RateX,RateY,RateZ,Orbit Parameters are Invalid,Configuration is Invalid,Control Mode Change is not allowed,Estimator Change is not allowed,Current Magnetometer Sampling Mode,Modelled and measured magnetic field differs in size,Node Recovery Error,CubeSense1 Runtime Error,CubeSense2 Runtime Error,CubeControl Signal Runtime Error,CubeControl Motor Runtime Error,CubeWheel1 Runtime Error,CubeWheel2 Runtime Error,CubeWheel3 Runtime Error,CubeStar Runtime Error,Magnetometer Error,Rate Sensor Failure,x-Axis rate,y-Axis rate,z-Axis rate,Q0,Q1,Q2,Image Capture Success (flag),Detection Success (flag),Identification Success (flag),AttitudeSuccess (flag),Processing Time Error (flag),Tracking Module Enabled (flag),Prediction Enabled (flag),Comms error (flag),Sample Period,Star 1 confidence (percentage),Star 2 confidence (percentage),Star 3 confidence (percentage),CubeSense2 3V3 Current (mA),CubeSense2 Cam SRAM Current (mA),
1700308489,503,2023-11-18,11:54:49 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308490,498,2023-11-18,11:54:50 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308491,496,2023-11-18,11:54:51 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308492,506,2023-11-18,11:54:52 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308493,503,2023-11-18,11:54:53 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308494,503,2023-11-18,11:54:54 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308495,500,2023-11-18,11:54:55 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308496,498,2023-11-18,11:54:56 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308497,495,2023-11-18,11:54:57 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308498,508,2023-11-18,11:54:58 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308499,507,2023-11-18,11:54:59 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308500,506,2023-11-18,11:55:00 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308501,500,2023-11-18,11:55:01 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308502,496,2023-11-18,11:55:02 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308503,507,2023-11-18,11:55:03 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308504,503,2023-11-18,11:55:04 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308505,497,2023-11-18,11:55:05 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
1700308506,506,2023-11-18,11:55:06 AM,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EstNone,ConNone,AdcsOff,Asgp4Off,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NoConvergence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaptureStartup,DetectStartup,0,0,CaptureStartup,DetectStartup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,SigMainMag,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,
